run,stage,run_group,model,sweep_label,seed,mean_foscttm,time_mae,time_spearman,jvp_rhs_cos,jvp_norm,rhs_norm,kappa_mean,beta_mean,lr,sinkhorn_reg,lambda_dyn,phi_init_gain,kot_rna_layer,kot_protein_layer,velocity_layer
run_20260701_183237,clean,linked_ode,kot_anchor,,101.0,0.032238,0.18697299459891975,0.9999946684227136,0.6186575293540955,0.1461144983768463,0.12019336223602295,0.46415525674819946,0.6715120673179626,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_anchor,,123.0,0.031513,0.18689097819563913,0.9999941014942241,0.5911692380905151,0.13823336362838745,0.11632522195577621,0.46047472953796387,0.6748474836349487,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_anchor,,2026.0,0.033124,0.1948669733946789,0.999994306694499,0.6081693768501282,0.14118000864982605,0.11801053583621979,0.4537848234176636,0.6766578555107117,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,6.0,0.041475,0.2231882376475295,0.9999957846150384,-0.8265348076820374,0.1894601285457611,1.5176074504852295,0.6950886249542236,0.6921676397323608,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,9.0,0.047912,0.256626925385077,0.999995743887054,-0.8387137651443481,0.18792977929115295,1.5302424430847168,0.6950709819793701,0.6929585337638855,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,11.0,0.039613,0.2133390678135627,0.9999949603347016,-0.8320728540420532,0.17859309911727905,1.5493351221084595,0.6950797438621521,0.6983450651168823,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,17.0,0.03579,0.19513182636527304,0.9999956867909743,-0.8321655988693237,0.17842794954776764,1.5364577770233154,0.6950819492340088,0.696349024772644,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,21.0,0.040346,0.22639567913582714,0.9999960094230689,-0.8173482418060303,0.17699234187602997,1.5605316162109375,0.6950843334197998,0.6978495121002197,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,33.0,0.037194,0.19836487297459493,0.9999948797186508,-0.8140073418617249,0.17877545952796936,1.509634256362915,0.6950825452804565,0.6896504163742065,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,42.0,0.04205,0.2260764152830566,0.999995654655066,-0.8193740844726562,0.18036405742168427,1.5192627906799316,0.695077121257782,0.6923195123672485,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,77.0,0.038782,0.21069293858771754,0.9999957715589954,-0.8170239925384521,0.17869466543197632,1.5601592063903809,0.6950750946998596,0.7004950046539307,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
