protein_name,hgnc_id,gene_symbol,uniprot_id,cell_type,half_life_hours,beta_per_hour,quality_score_or_R2,source,anchor_weight
CD29,HGNC:6153,ITGB1,nan,Monocytes,51.3125,0.01350835,0.9510000000000001,Mathieson2018_NatCommun_SuppData2,0.9510000000000001
CD29,HGNC:6153,ITGB1,nan,NK,57.9855,0.0119538,0.9875,Mathieson2018_NatCommun_SuppData2,0.9875
CD29,HGNC:6153,ITGB1,nan,Tcells,34.807,0.01991402,0.991,Savitski2018_Cell_Tcells,0.991
CD81,HGNC:1701,CD81,nan,Bcells,50.772,0.01365215,0.984,Mathieson2018_NatCommun_SuppData2,0.984
CD81,HGNC:1701,CD81,nan,Monocytes,15.138,0.04578856,0.961,Mathieson2018_NatCommun_SuppData2,0.961
CD81,HGNC:1701,CD81,nan,Tcells,57.9097,0.01196946,0.995,Savitski2018_Cell_Tcells,0.995
IgD,nan,IGHD,nan,Bcells,59.103,0.01172778,0.9165,Mathieson2018_NatCommun_SuppData2,0.9165
CD18,HGNC:6155,ITGB2,nan,Bcells,128.5835,0.00539064,0.987,Mathieson2018_NatCommun_SuppData2,0.987
CD18,HGNC:6155,ITGB2,nan,Monocytes,51.811,0.01337838,0.9835,Mathieson2018_NatCommun_SuppData2,0.9835
CD18,HGNC:6155,ITGB2,nan,NK,212.5815,0.00326062,0.994,Mathieson2018_NatCommun_SuppData2,0.994
CD18,HGNC:6155,ITGB2,nan,Tcells,110.271,0.00628585,0.996,Savitski2018_Cell_Tcells,0.996
CD38,HGNC:1667,CD38,nan,Monocytes,445.994,0.00155416,0.931,Mathieson2018_NatCommun_SuppData2,0.931
CD45,HGNC:9666,PTPRC,nan,Bcells,170.0195,0.00407687,0.997,Mathieson2018_NatCommun_SuppData2,0.997
CD45,HGNC:9666,PTPRC,nan,Monocytes,87.6135,0.00791142,0.991,Mathieson2018_NatCommun_SuppData2,0.991
CD45,HGNC:9666,PTPRC,nan,NK,138.5135,0.00500419,0.998,Mathieson2018_NatCommun_SuppData2,0.998
CD45,HGNC:9666,PTPRC,nan,Tcells,138.487,0.00500514,1.0,Savitski2018_Cell_Tcells,1.0
CD22,HGNC:1643,CD22,nan,Bcells,165.5095,0.00418796,0.996,Mathieson2018_NatCommun_SuppData2,0.996
CD71,HGNC:11763,TFRC,nan,Bcells,16.328,0.04245144,0.996,Mathieson2018_NatCommun_SuppData2,0.996
CD71,HGNC:11763,TFRC,nan,Monocytes,14.2015,0.04880803,0.9145,Mathieson2018_NatCommun_SuppData2,0.9145
CD26,HGNC:3009,DPP4,nan,Tcells,430.8093,0.00160894,0.995,Savitski2018_Cell_Tcells,0.995
CD63,HGNC:1692,CD63,nan,Bcells,51.63,0.01342528,0.964,Mathieson2018_NatCommun_SuppData2,0.964
CD63,HGNC:1692,CD63,nan,Monocytes,37.449,0.0185091,0.988,Mathieson2018_NatCommun_SuppData2,0.988
CD63,HGNC:1692,CD63,nan,NK,571.0665,0.00121378,0.9855,Mathieson2018_NatCommun_SuppData2,0.9855
CD63,HGNC:1692,CD63,nan,Tcells,124.826,0.00555291,0.953,Savitski2018_Cell_Tcells,0.953
CD304,HGNC:8004,NRP1,nan,Monocytes,12.011,0.05770936,0.925,Mathieson2018_NatCommun_SuppData2,0.925
CD36,HGNC:1663,CD36,nan,Monocytes,55.2135,0.01255394,0.98,Mathieson2018_NatCommun_SuppData2,0.98
CD172a,HGNC:9662,SIRPA,nan,Bcells,49.0,0.01414586,0.884,Mathieson2018_NatCommun_SuppData2,0.884
CD172a,HGNC:9662,SIRPA,nan,Monocytes,27.7245,0.02500125,0.9764999999999999,Mathieson2018_NatCommun_SuppData2,0.9764999999999999
CD172a,HGNC:9662,SIRPA,nan,NK,275.491,0.00251604,0.928,Mathieson2018_NatCommun_SuppData2,0.928
CD49d,HGNC:6140,ITGA4,nan,Bcells,86.999,0.0079673,0.9964999999999999,Mathieson2018_NatCommun_SuppData2,0.9964999999999999
CD49d,HGNC:6140,ITGA4,nan,Monocytes,28.6205,0.02421856,0.972,Mathieson2018_NatCommun_SuppData2,0.972
CD49d,HGNC:6140,ITGA4,nan,NK,52.941,0.01309282,0.998,Mathieson2018_NatCommun_SuppData2,0.998
CD49d,HGNC:6140,ITGA4,nan,Tcells,47.3863,0.01462758,0.999,Savitski2018_Cell_Tcells,0.999
CD73,HGNC:8021,NT5E,nan,Bcells,407.0115,0.00170302,0.973,Mathieson2018_NatCommun_SuppData2,0.973
CD9,HGNC:1709,CD9,nan,Bcells,168.162,0.0041219,0.9684999999999999,Mathieson2018_NatCommun_SuppData2,0.9684999999999999
CD9,HGNC:1709,CD9,nan,Monocytes,33.236,0.02085531,0.983,Mathieson2018_NatCommun_SuppData2,0.983
CD9,HGNC:1709,CD9,nan,NK,243.736,0.00284384,0.9615,Mathieson2018_NatCommun_SuppData2,0.9615
CD352,HGNC:21392,SLAMF6,nan,Bcells,93.648,0.00740162,0.992,Mathieson2018_NatCommun_SuppData2,0.992
CD352,HGNC:21392,SLAMF6,nan,NK,63.0715,0.01098986,0.999,Mathieson2018_NatCommun_SuppData2,0.999
CD352,HGNC:21392,SLAMF6,nan,Tcells,66.3283,0.01045024,0.994,Savitski2018_Cell_Tcells,0.994
CD162,HGNC:10722,SELPLG,nan,NK,52.0,0.01332975,0.998,Mathieson2018_NatCommun_SuppData2,0.998
CD162,HGNC:10722,SELPLG,nan,Tcells,34.19,0.02027339,0.998,Savitski2018_Cell_Tcells,0.998
CD328,HGNC:10876,SIGLEC7,nan,Monocytes,23.978,0.02890763,0.994,Mathieson2018_NatCommun_SuppData2,0.994
CD82,HGNC:6210,CD82,nan,Bcells,39.867,0.01738649,0.9844999999999999,Mathieson2018_NatCommun_SuppData2,0.9844999999999999
CD82,HGNC:6210,CD82,nan,Monocytes,70.031,0.00989772,0.878,Mathieson2018_NatCommun_SuppData2,0.878
CD82,HGNC:6210,CD82,nan,Tcells,68.4283,0.01012953,0.973,Savitski2018_Cell_Tcells,0.973
CD101,HGNC:5949,CD101,nan,Monocytes,38.943,0.01779902,0.8915,Mathieson2018_NatCommun_SuppData2,0.8915
CD88,HGNC:1338,C5AR1,nan,Monocytes,32.515,0.02131777,0.9755,Mathieson2018_NatCommun_SuppData2,0.9755
