gene_symbol,molecule,cell_line,half_life_hours,gamma_per_hour,half_life_rep1_hours,half_life_rep2_hours,replicate_log_ratio,anchor_weight,source
DHX8,RNA,K562,1.50811512991646,0.4596115819077694,1.40851699104402,1.60771326878889,0.1322754679463216,0.8760996244716405,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DHX9,RNA,K562,3.05681473856516,0.22675472341032418,3.34976965706741,2.7638598200629,0.19226339609965332,0.825089514507857,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DIAPH1,RNA,K562,4.84068129840116,0.14319207108075604,5.03757409757886,4.64378849922346,0.08139411636575063,0.9218303114301267,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DIAPH3,RNA,K562,2.24084080537215,0.30932459766807496,2.06144469402769,2.42023691671661,0.160458390065893,0.8517532642318043,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DICER1,RNA,K562,2.25619589132551,0.307219414424482,2.40770005223729,2.10469173041372,0.13450294661282372,0.8741503030902842,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DIDO1,RNA,K562,0.4633701794079019,1.4958821507367053,0.4700458374269659,0.4566945213888389,0.028815492353183734,0.9715957147685593,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DIEXF,RNA,K562,0.451706605139348,1.5345075158821615,0.492622862841583,0.410790347437113,0.1816609164090797,0.8338840488798313,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DIMT1,RNA,K562,2.7308737215102,0.2538188328153922,3.43205910613582,2.0296883368845906,0.525278150906275,0.5913908455876891,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DIP2A,RNA,K562,1.19935540843721,0.5779330927961823,1.38695624869061,1.0117545681838,0.3154255770981353,0.7294783589164919,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DIP2B,RNA,K562,1.10286225960963,0.6284984135782217,1.16315863636581,1.04256588285345,0.10945439728092758,0.896323038197832,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DIRAS1,RNA,K562,1.1614253584596,0.596807341523236,1.0929402970536,1.2299104198656,0.11806975265883676,0.8886340658639452,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DIS3,RNA,K562,1.94904270730865,0.3556346805335439,2.16415996553143,1.73392544908586,0.22164439565011293,0.8012002239677685,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
